split,source_split,rating_source_split,model_slug,mean_score,ci_level,ci_lower,ci_upper,bootstrap_std,num_filtered_samples,num_scored_samples,num_missing_scores,duplicate_rating_rows,invalid_score_rows,input_path
filtered_test_mini,test-mini,test,qwen35_9b,1.5521335807,0.9500000000,1.4116883117,1.6936920223,0.0721531360,539,539,0,0,0,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/qwen35_9b/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test_mini,test-mini,test,kimi_k2_5,2.9441558442,0.9500000000,2.7833024119,3.1025974026,0.0809608902,539,539,0,0,0,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/kimi_k2_5/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test_mini,test-mini,test,kimi_k2_5_reasoning,3.2562152134,0.9500000000,3.1018552876,3.4133580705,0.0794863764,539,539,0,0,0,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/kimi_k2_5_reasoning/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test_mini,test-mini,test,qwen35_397b_a17b,2.3228624535,0.9500000000,2.1695074349,2.4801115242,0.0788937642,539,538,1,0,1,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/qwen35_397b_a17b/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test_mini,test-mini,test,qwen35_397b_a17b_reasoning,2.8994434137,0.9500000000,2.7252319109,3.0703153989,0.0885515262,539,539,0,0,0,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/qwen35_397b_a17b_reasoning/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test_mini,test-mini,test,gpt_5_4_mini,3.7955390335,0.9500000000,3.6540799257,3.9327137546,0.0714572338,539,538,1,0,1,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/gpt_5_4_mini/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test_mini,test-mini,test,gpt_5_4_mini_reasoning_medium,4.0838589981,0.9500000000,3.9692022263,4.1929499072,0.0571250650,539,539,0,0,0,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/gpt_5_4_mini_reasoning_medium/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test_mini,test-mini,test,gemini_3_1_flash_lite_preview,2.9821561338,0.9500000000,2.8189544610,3.1474024164,0.0832703299,539,538,1,0,1,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/gemini_3_1_flash_lite_preview/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test,test,test,qwen35_9b,1.5769940065,0.9500000000,1.5059923928,1.6493810512,0.0364566355,2169,2169,0,0,0,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/qwen35_9b/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test,test,test,kimi_k2_5,2.8654520295,0.9500000000,2.7850518911,2.9447428506,0.0405273970,2169,2168,1,0,1,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/kimi_k2_5/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test,test,test,kimi_k2_5_reasoning,3.1702166897,0.9500000000,3.0903146611,3.2498847395,0.0407853898,2169,2169,0,0,0,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/kimi_k2_5_reasoning/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test,test,test,qwen35_397b_a17b,2.1876788186,0.9500000000,2.1090909091,2.2640978311,0.0396304761,2169,2167,2,0,2,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/qwen35_397b_a17b/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test,test,test,qwen35_397b_a17b_reasoning,2.8587367450,0.9500000000,2.7732134624,2.9434774089,0.0435086884,2169,2169,0,0,0,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/qwen35_397b_a17b_reasoning/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test,test,test,gpt_5_4_mini,3.6783671587,0.9500000000,3.6059040590,3.7508337177,0.0369959545,2169,2168,1,0,1,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/gpt_5_4_mini/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test,test,test,gpt_5_4_mini_reasoning_medium,4.0435223605,0.9500000000,3.9862125403,4.1009220839,0.0295223442,2169,2169,0,0,0,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/gpt_5_4_mini_reasoning_medium/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
filtered_test,test,test,gemini_3_1_flash_lite_preview,2.8966759003,0.9500000000,2.8141274238,2.9816274238,0.0422902913,2169,2166,3,0,3,<LOCAL_PROJECT_ROOT>/annotation/training_qwen3vl_recreation/outputs/gemini_3_1_flash_lite_preview/generations/benchmark/test/benchmark_eval__local_vllm_qwen_qwen3_5_122b_a10b_gptq_int4.csv
